TrainingCenterDatabase,xsi:schemaLocation,xmlns:ns5,xmlns:ns3,xmlns:ns2,xmlns,xmlns:xsi,xmlns:ns4,Activities,Activity,Sport,Id,Lap,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageHeartRateBpm,Value,MaximumHeartRateBpm,Value,Intensity,TriggerMethod,Track,Trackpoint,Time,Position,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm,Value,Extensions,ns3:TPX,ns3:Speed,ns3:RunCadence,ns3:Watts,Extensions,ns3:LX,ns3:AvgSpeed,ns3:AvgRunCadence,ns3:MaxRunCadence,ns3:AvgWatts,ns3:MaxWatts,Creator,xsi:type,Name,UnitId,ProductID,Version,VersionMajor,VersionMinor,BuildMajor,BuildMinor,Author,xsi:type,Name,Build,Version,VersionMajor,VersionMinor,BuildMajor,BuildMinor,LangID,PartNumber
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:31.000Z,,43.69885169,-79.39662821,160,204.6600037,,121,,,3.414999962,84,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:32.000Z,,43.69882269,-79.39662251,160,207.9600067,,122,,,3.443000078,84,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:33.000Z,,43.69879746,-79.39661169,160,210.9900055,,122,,,3.451999903,84,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:34.000Z,,43.69876686,-79.39660507,160,214.1499939,,123,,,3.451999903,84,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:35.000Z,,43.69874063,-79.39659644,160,217.2799988,,123,,,3.368000031,83,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:36.000Z,,43.69870769,-79.39659275,160,220.9499969,,124,,,3.349999905,83,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:37.000Z,,43.69867709,-79.39658688,160,224.4600067,,124,,,3.349999905,83,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:38.000Z,,43.69865287,-79.39658227,160,227.3300018,,125,,,3.414999962,83,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:39.000Z,,43.6986175,-79.3965832,160,230.8899994,,125,,,3.414999962,82,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:40.000Z,,43.69858758,-79.39658236,160,234.3000031,,125,,,3.395999908,82,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:41.000Z,,43.69855656,-79.39657582,160,237.6600037,,125,,,3.395999908,83,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:42.000Z,,43.69852412,-79.39657171,160,241.1100006,,126,,,3.395999908,83,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:43.000Z,,43.69849605,-79.3965588,160,244.1999969,,126,,,3.405999899,83,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:44.000Z,,43.69845925,-79.39654992,160,247.7200012,,126,,,3.395999908,84,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
